Word	True	Predict
"	O	O

mesti	JV	JV
lek	JV	JV
pas	JV	JV
duwe	JV	JV
gratis	ID	JV
ongkir	ID	ID
akeh	JV	JV
tapi	JV	ID
gak	JV	ID
pingin	JV	ID
check	EN	EN
out	EN	EN
,	O	O
sedeng	JV	EN
gratis	JV	ID
ongkire	MIX-ID-JV	MIX-ID-JV
hangus	ID	ID
kaet	JV	ID
kepikiran	JV	ID
check	EN	EN
out	EN	EN
.	O	O
babi	ID	EN
gak	ID	ID
tuhh	ID	O

@OngisnadeNet	O	O
Padahal	ID	ID
Robby	O	ID
penyelamatane	MIX-ID-JV	MIX-ID-JV
akeh	JV	JV
,	O	O
menutupi	ID	JV
lubang	ID	O
Bagas	O	O
&	O	O
amp	O	O
;	O	O
Rizky	O	O
Dwi	O	O
.	O	O

@vickyvrgwn	O	O
Tak	JV	JV
hapuse	MIX-ID-JV	MIX-ID-JV
.	O	O

@literarybase	O	O
Dan	ID	ID
setelah	ID	ID
semua	ID	ID
perjuangan	ID	ID
yang	ID	ID
kamu	ID	ID
lakukan	ID	ID
,	O	O
semua	ID	ID
sakit	ID	ID
yang	ID	ID
kamu	ID	ID
lalui	ID	ID
akhirnya	ID	ID
yang	ID	ID
diinginkan	ID	ID
tercapai	ID	ID
.	O	O
Sekarang	ID	ID
saatnya	ID	ID
istirahat	ID	ID
sejenak	ID	ID
,	O	O
kamu	ID	ID
telah	ID	ID
berjuang	ID	ID
dengan	ID	ID
hebat	ID	ID

@zhevyeah	O	ID
@Apriado8	O	O
@idextratime	O	O
@Corriere	O	ID
Ya	ID	ID
itu	ID	ID
,	O	O
sebenarnya	ID	ID
setelah	ID	ID
kejadian	ID	ID
kesekian	ID	ID
kalinya	ID	ID
kyak	ID	ID
harusnya	ID	ID
Ballon	EN	ID
D'or	EN	ID
dan	ID	ID
FIFA	O	ID
best	EN	EN
player	EN	EN
kesepannya	ID	EN
harus	ID	ID
dibuat	ID	ID
standar	ID	ID
pasti	ID	ID
yg	ID	ID
objektif	ID	ID
dan	ID	ID
baku	ID	ID
.	O	O
Percuma	ID	ID
vote	EN	ID
terus	ID	ID
,	O	O
percuma	ID	ID
ada	ID	ID
statistik	ID	ID
hebat	ID	ID
,	O	O
percuma	ID	ID
dapet	ID	ID
trofi	ID	ID
banyak	ID	ID
kalo	ID	ID
ujung-ujungnya	ID	ID
kontroversi	ID	O

Hallo	EN	O
@myXL	O	O
masih	ID	ID
error	EN	EN
ini	ID	ID
sampe	ID	ID
skrg	ID	ID
jaringan	ID	ID
😤	O	O
kalo	ID	ID
ga	ID	ID
karna	ID	ID
ngelink	MIX-ID-EN	MIX-ID-EN
ama	ID	ID
mbanking	EN	ID
&	O	O
amp	O	O
;	O	O
udah	ID	ID
dipake	ID	ID
lama	ID	ID
buat	ID	ID
kerjaan	ID	ID
pasti	ID	ID
udah	ID	ID
saya	ID	ID
non	ID	ID
aktifin	ID	ID
ni	ID	O
nomor	ID	ID
XL	O	O
.	O	O

@teatimewithrin	O	O
TAK	JV	O
KEKI	JV	ID
GRATIS	JV	ID
GELEM	JV	ID
TA	JV	ID
?	O	O
tapi	JV	ID
mbayaro	JV	ID
ongkire	MIX-ID-JV	MIX-ID-JV
tok	JV	JV
🤩	O	O
👍🏻	O	O

@aeribase	O	O
1	O	O
kali	ID	ID
print	EN	EN
1	O	O
kali	ID	ID
dapat	ID	ID
foto	ID	ID
bareng	ID	ID
.	O	O
Ngeprint	MIX-ID-EN	MIX-ID-EN
banyak	ID	ID
bisa	ID	ID
bawa	ID	ID
pulang	ID	ID
orang	ID	ID
nya	ID	ID
🤗	O	O
👍	O	O

@NatawidjajaArie	O	O
wes	JV	JV
mulai	ID	ID
nih	ID	ID
ko	JV	ID
..	O	O
Iyooo	JV	JV
wes	JV	JV
taon	JV	ID
dpn	ID	ID
yo	JV	JV
g	JV	JV
kroso	JV	ID
..	O	O
Medeniiii	JV	JV
..	O	O
Iso	JV	JV
ko	JV	JV
,	O	O
diclick	MIX-ID-EN	MIX-JV-EN
aja	ID	ID
sg	JV	JV
ad	ID	ID
(	O	O
cont	O	EN
)	O	O
http://t.co/1W7NBYC	O	O

@starfess	O	O
Paji	O	ID
bisa	ID	ID
dicopy	MIX-ID-EN	MIX-ID-EN
paste	EN	EN
ga	ID	ID
sih	ID	ID
,	O	O
ya	ID	ID
Allah	O	O
.	O	O

'	O	O
Aku	ID	ID
pengen	ID	ID
ke	ID	ID
korea	O	O
tp	ID	ID
gaisa	JV	ID
cuti	ID	ID
ca	O	O
,	O	O
enak	ID	ID
km	ID	ID
isa	JV	ID
seenaknya	ID	ID
berangkat	ID	ID
ke	ID	ID
korea	O	O
'	O	O
JANCOK	JV	ID
KON	JV	JV
GAK	JV	ID
MIKIR	JV	ID
AKU	JV	ID
DUIT	JV	ID
E	JV	O
TUTUK	JV	O
NDI	JV	O
?	O	O
MBOK	JV	JV
KIRO	JV	JV
NGURUS	JV	O
VISA	ID	O
LEK	JV	O
GAK	JV	ID
KERJO	JV	ID
NDE	JV	O
KANTORAN	JV	O
ISOK	JV	O
TENANG	ID	O
GAMPANG	JV	ID
DIAPPROVE	MIX-ID-EN	MIX-ID-EN
?	O	O
ENAK	JV	O
LAMBEMU	JV	O
SU	JV	O

@OposisiCerdas	O	O
Yg	ID	ID
happy	EN	EN
Tito	O	ID
doank	ID	ID
...	O	O
jabatannya	ID	ID
sambung	ID	ID
menyambung	ID	ID
soalnya	ID	ID
😎	O	O
asuuu	JV	JV
Kabeh	JV	JV

Dengaren	JV	JV
ngeprintke	MIX-JV-EN	MIX-JV-EN
tugas	JV	JV
karo	JV	JV
tiket	JV	JV
ndelok	JV	JV
persis	O	O
larang	JV	JV
ngeprint	MIX-JV-EN	MIX-JV-EN
ke	JV	ID
tugas	JV	ID
,	O	O
suog	JV	O
~	O	O

@rouletteess	O	ID
@manggit_garis	O	ID
udah	ID	ID
di	ID	ID
dm	EN	EN
yaa	ID	ID
gasss	ID	JV
wkwkwk	O	O
sek	JV	JV
tak	JV	JV
carine	MIX-ID-JV	MIX-ID-JV
lagi	ID	ID
heheh	O	O

gimana	ID	ID
caranya	ID	ID
ngepin	MIX-ID-EN	MIX-ID-EN
tweet	EN	EN
orang	ID	ID
?	O	O
perasaan	ID	ID
dulu	ID	ID
aku	ID	ID
bisa	ID	ID
kok	ID	ID
skrng	ID	ID
gabisa	ID	ID
lgi	ID	ID

@euisbeling13	O	O
Kalo	ID	ID
nomor	ID	ID
selain	ID	ID
+62	O	ID
bisa	ID	ID
disearch	MIX-ID-EN	MIX-ID-EN
di	ID	ID
gercontact	O	ID
gk	ID	ID
sih	ID	ID
?	O	O

Telpon	ID	O
14045	O	ID
yan	O	ID
RT@harryansyah:	O	ID
Woi	ID	ID
internet	ID	ID
jgn	ID	ID
ngelag	MIX-ID-EN	MIX-ID-EN
please	EN	EN
bentar	ID	ID
lagi	ID	ID
lv	EN	ID
43	O	O

@sbyfess	O	O
Iya	ID	ID
soale	JV	JV
packingane	MIX-JV-EN	MIX-JV-EN
box	EN	EN
Kena	ID	ID
volume	ID	ID

sepiro	JV	JV
larang	JV	JV
,	O	O
lawong	JV	JV
perokok	JV	O
ki	JV	JV
ono	JV	JV
duit	JV	JV
gae	JV	JV
tuku	JV	JV
rokok	JV	JV
.	O	O
tapi	JV	JV
ora	JV	JV
ono	JV	JV
aturan	JV	ID
ketat	JV	ID
banget	JV	JV
sing	JV	JV
gae	JV	JV
cah	JV	JV
dibawah	ID	ID
umur	ID	JV
mandeg	JV	JV
rokok	JV	ID
.	O	O

Hp	EN	ID
disilent	MIX-ID-EN	MIX-ID-EN
,	O	O
trus	ID	ID
lgi	ID	ID
di	ID	ID
charger	EN	ID
,	O	O
org2	ID	ID
nge	ID	ID
chat	EN	EN
pada	ID	ID
enggak	ID	ID
tau	ID	ID
.	O	O
Trus	ID	ID
lupa	ID	ID
balasnya	ID	ID
,	O	O
memang	ID	ID
lah	ID	ID
kebiasaan	ID	ID
aku	ID	ID
wkwkwk	O	O
😅	O	O

gonaku	JV	JV
diprintke	MIX-JV-EN	MIX-JV-EN
sisan	JV	JV
ya	JV	JV
RT	EN	EN
@CynthiaInkee:	O	O
Sakit	ID	ID
kali	ID	ID
ini	ID	ID
disponsori	ID	ID
oleh	ID	ID
bayang-bayang	O	ID
tugas	ID	ID
yang	ID	ID
nggak	ID	ID
kelar-kelar	ID	ID
,	O	O
padahal	ID	ID
udah	ID	ID
pengen	ID	ID
t	O	O

Mbok	JV	JV
ada	ID	ID
yg	ID	ID
kerumahku	ID	ID
bawain	ID	ID
flashdisk	EN	EN
,	O	O
sekalian	ID	ID
ngeprintke	MIX-JV-EN	MIX-JV-EN
tugas	ID	ID
TIK	ID	ID
ku	ID	ID
:'')	EN	ID

masi	ID	ID
inget	ID	ID
gue	ID	ID
baca	ID	ID
au	EN	EN
ini	ID	ID
grgr	ID	ID
diprank	MIX-ID-EN	MIX-ID-EN
temen	ID	ID
gue	ID	ID
katanya	ID	ID
happy	EN	EN
ending	EN	EN
tapi	ID	ID
ternyata	ID	ID
🥲	O	O
but	EN	EN
hats	EN	EN
off	EN	EN
to	EN	EN
my	EN	EN
favourite	EN	EN
angst	EN	EN
au	EN	EN
,	O	O
every	EN	EN
tears	EN	EN
i	EN	EN
spent	EN	EN
on	EN	EN
this	EN	EN
masterpiece	EN	EN
is	EN	EN
worth	EN	EN
it	EN	EN
❤	O	O
️	O	O

@binhshxx53	O	O
@febandryani	O	ID
Mencoba	ID	ID
cari	ID	ID
pengalihan	ID	ID
cis	O	ID
,	O	O
drama	ID	EN
opo	JV	JV
wae	JV	JV
tak	JV	JV
delok	JV	JV
ki	JV	JV
,	O	O
wes	JV	JV
tak	JV	JV
donlod	EN	EN
suwi	JV	JV
,	O	O
mubazir	ID	JV
gak	JV	JV
di	JV	ID
delok	JV	JV
😅	O	O
😓	O	O

#.	O	O
ini	ID	ID
maafff	ID	ID
bgt	ID	ID
rl	EN	EN
tp	ID	ID
please	EN	EN
anyone	EN	EN
tolong	ID	ID
dong	ID	ID
rep	EN	EN
topik	ID	ID
apa	ID	ID
yg	ID	ID
kira	ID	ID
"	O	O
ada	ID	ID
perspektif	ID	ID
pro	ID	EN
&	O	O
amp	O	O
;	O	O
kontra	ID	ID
nya	ID	ID
?	O	O
contohnya	ID	ID
kyk	ID	ID
hukuman	ID	ID
m4ti	ID	ID
kan	ID	ID
ada	ID	ID
yg	ID	ID
pro	ID	EN
&	O	O
amp	O	O
;	O	O
kontra	ID	ID
gt	ID	ID
gt	ID	ID
pls	EN	EN
bantuin	ID	ID
:")	O	O

Fan	ID	ID
projectnya	MIX-ID-EN	MIX-ID-EN
bener2	ID	ID
bikin	ID	ID
pgn	ID	ID
nonton	ID	ID
lagi	ID	ID
😭	O	O

kalian	ID	ID
hebat	ID	ID
banget	ID	ID
,	O	O
super	ID	ID
profesional	ID	ID
huaaaa	O	ID
T_T	O	O
nangis	ID	ID
banget	ID	ID
liat	ID	ID
perjuangan	ID	ID
mreka	ID	ID
yang	ID	ID
bener	ID	ID
"	O	O
berlika-liku	ID	ID
.	O	O

and	EN	EN
if	EN	EN
he	EN	EN
suddenly	EN	EN
silent	EN	EN
in	EN	EN
the	EN	EN
call	EN	EN
,	O	O
he's	EN	EN
just	EN	EN
overcome	EN	EN
it	EN	EN
with	EN	EN
SLEEP	EN	EN
like	EN	EN
how	EN	EN
could	EN	EN
u	EN	EN
do	EN	EN
that	EN	EN
?	O	O
i	EN	EN
mean	EN	EN
ok	EN	EN
tdr	ID	EN
bisa	ID	ID
jadi	ID	ID
escape	EN	EN
from	EN	EN
life's	EN	EN
stormy	EN	EN
part	EN	EN
TP	ID	ID
JUJURLY	MIX-ID-EN	EN
GUE	ID	ID
GABISA	ID	ID
.	O	O
Gue	ID	ID
malah	ID	ID
ovt	EN	EN
sampe	ID	ID
ga	ID	ID
bisa	ID	ID
tdr	ID	EN
.	O	O
I	EN	EN
just	EN	EN
don't	EN	EN
understand	EN	EN
w/	EN	O
him	EN	EN

masalah	JV	JV
e	JV	JV
So	O	O
mbek	JV	JV
Sa	O	JV
angel	JV	JV
diseleseke	MIX-ID-JV	MIX-ID-JV
nek	JV	JV
ego	ID	JV
ne	JV	JV
gede2	JV	JV
..	O	O
segede	JV	JV
gajah	JV	ID
:(	O	O

Ning	O	JV
:	O	O
"	O	O
ma	ID	O
,	O	O
ning	O	JV
mau	ID	ID
jualan	ID	ID
jilbab	ID	ID
malolo	O	ID
d	ID	O
kendari	O	ID
,	O	O
menurut	ID	ID
mama	ID	ID
gimana	ID	ID
?"	O	O
Ma	ID	ID
:	O	O
"	O	O
Insya	ID	ID
Allah	O	O
bisa	ID	ID
nak	ID	ID
,	O	O
yang	ID	ID
penting	ID	ID
mau	ID	ID
ikhtiar	ID	ID
dan	ID	ID
berdoa	ID	ID
"	O	O
Penyemangat	ID	ID
pagi	ID	ID
ku	ID	ID
..	O	O
My	EN	EN
angel	EN	EN
,	O	O
mama	ID	ID
tersayang	ID	ID
♥	O	O
️	O	O

@natanattda	O	O
Ibuku	JV	O
,	O	O
"	O	O
ya	JV	JV
Allah	O	O
iki	JV	JV
panganan	JV	JV
opo	JV	JV
?	O	O
Larang	JV	JV
banget	JV	JV
tp	JV	JV
siithik	JV	JV
e	JV	JV
pol	JV	JV
.	O	O
Mending	JV	JV
nggo	JV	JV
tuku	JV	JV
omah	JV	JV
timbang	JV	JV
nggo	JV	JV
tuku	JV	JV
panganan	JV	JV
sak	JV	JV
upil	JV	JV
ngene	JV	JV
ki	JV	JV
"	O	O

@collegemenfess	O	O
diem2	ID	ID
aja	ID	ID
aku	ID	ID
jg	ID	ID
magang	ID	ID
di	ID	ID
pt	ID	ID
punya	ID	ID
sodara	ID	ID
tp	ID	ID
emg	ID	ID
pt	ID	ID
nya	ID	ID
ada	ID	ID
dilist	MIX-ID-EN	MIX-ID-EN
magang	ID	ID
wajib	ID	ID
kampus	ID	ID
sih	ID	ID
,	O	O
kek	ID	ID
kampus	ID	ID
ku	ID	ID
ngeluarin	ID	ID
list	EN	ID
perusahaan	ID	ID
a	O	EN
b	O	O
c	O	O
ini	ID	ID
boleh	ID	ID
magang	ID	ID
gt	ID	ID
dan	ID	ID
kebetulan	ID	ID
ada	ID	ID

@cgharger	O	O
Gue	ID	ID
ngebales	ID	ID
replyan	MIX-ID-EN	ID
doang	ID	ID
...	O	O
dia	ID	ID
yg	ID	ID
tiba2	ID	ID
nge	ID	ID
jb	EN	MIX-ID-EN
jb	EN	MIX-ID-EN
,	O	O
dibales	ID	ID
malah	ID	ID
diblock	MIX-ID-EN	MIX-ID-EN
..	O	O
ya	ID	ID
gapapa	ID	ID
juga	ID	ID
siih	ID	ID

NGELAG	MIX-ID-EN	MIX-ID-EN
ALWAYS	EN	EN
LAGGING	EN	EN
!!	O	O
ERRRRRRRRRRRR	O	ID
!!!	O	O
PLEASE	EN	EN
BE	EN	EN
NICE	EN	EN
INTERNET	EN	ID
NO	EN	EN
LAG	EN	EN
-________-	O	O

@pacarbighit	O	O
ya	ID	ID
aman2	ID	ID
ajaa	ID	ID
.	O	O
aku	ID	ID
selalu	ID	ID
order	ID	ID
namanya	ID	ID
pc	O	EN
bts	O	O
ya	ID	ID
nyampe2	ID	ID
aja	ID	ID
kok	ID	ID
.	O	O
lagian	ID	ID
harganya	ID	ID
150	O	ID
kan	ID	ID
,	O	O
kalo	ID	ID
ilang	ID	ID
jg	ID	ID
bs	ID	ID
claim	EN	EN
150	O	ID
.	O	O
yg	ID	ID
bahaya	ID	ID
tuh	ID	ID
kl	ID	ID
isinya	ID	ID
poca	EN	O
trs	ID	ID
harganya	ID	ID
displit	MIX-ID-EN	MIX-ID-EN
pay	EN	ID

Aku	JV	JV
gak	JV	JV
ngerti	JV	JV
motivasine	MIX-ID-JV	MIX-ID-JV
bapakku	JV	JV
rabi	JV	JV
karo	JV	JV
ibuk	JV	JV
iku	JV	JV
opo	JV	JV
.	O	O
Senenge	JV	JV
kok	JV	JV
nyikso	JV	JV
batin	JV	ID
anak	JV	JV
bojone	JV	JV
😁	O	O

beyb	EN	EN
kalo	ID	ID
inget	ID	ID
dis-ney	O	ID
rame	ID	ID
ini	ID	ID
jadi	ID	ID
inget	ID	ID
beberapa	ID	ID
minggu	ID	ID
lalu	ID	ID
punya	ID	ID
c	ID	O
BIKIN	ID	ID
ISTIGHFAR	ID	ID
bgt	ID	ID
sorry	EN	EN
..	O	O
owrder	EN	ID
disney	O	O
gak	ID	ID
sabaran	ID	ID
pdhl	ID	ID
udh	ID	ID
di	ID	ID
blg	ID	ID
MAAF	ID	ID
KALO	ID	ID
DELAY	EN	ID
DARI	ID	ID
DISNEY	O	ID
YT	O	ID
KAYA	ID	ID
GINI	ID	ID
lah	ID	ID
masih	ID	ID
ditanya	ID	ID
"	O	O
iya	ID	ID
kalo	ID	ID
giru	ID	ID
jam	ID	ID
berapa	ID	ID
bisanya	ID	ID
?"	O	O
"	O	O
blm	ID	ID
muncul	ID	ID
?"	O	O
